"id","name","module","description","created_at","updated_at"
"21685","RegisterController","ios","SignInWithAppleAuthorizationException(AuthorizationErrorCode.canceled, The operation couldn’t be completed. (com.apple.AuthenticationServices.AuthorizationError error 1001.))","2024-09-10 07:30:36","2024-09-10 07:30:36"
"21678","RegisterController","ios","SignInWithAppleAuthorizationException(AuthorizationErrorCode.unknown, The operation couldn’t be completed. (com.apple.AuthenticationServices.AuthorizationError error 1000.))","2024-09-10 07:21:26","2024-09-10 07:21:26"
"21450","RegisterController","android","[firebase_auth/channel-error] ""dev.flutter.pigeon.firebase_auth_platform_interface.FirebaseAuthHostApi.signInWithCredential"".","2024-09-10 02:38:52","2024-09-10 02:38:52"
"21413","RegisterController","android","PlatformException(channel-error, Unable to establish connection on channel., null, null)","2024-09-10 01:20:50","2024-09-10 01:20:50"
"21249","RegisterController","android","[firebase_auth/channel-error] ""dev.flutter.pigeon.firebase_auth_platform_interface.FirebaseAuthHostApi.signInWithCredential"".","2024-09-09 20:12:10","2024-09-09 20:12:10"
"21124","RegisterController","ios","SignInWithAppleAuthorizationException(AuthorizationErrorCode.canceled, The operation couldn’t be completed. (com.apple.AuthenticationServices.AuthorizationError error 1001.))","2024-09-09 18:24:13","2024-09-09 18:24:13"
"21122","RegisterController","ios","SignInWithAppleAuthorizationException(AuthorizationErrorCode.canceled, The operation couldn’t be completed. (com.apple.AuthenticationServices.AuthorizationError error 1001.))","2024-09-09 18:23:18","2024-09-09 18:23:18"
"21121","RegisterController","ios","[firebase_auth/network-request-failed] Network error (such as timeout, interrupted connection or unreachable host) has occurred.","2024-09-09 18:23:13","2024-09-09 18:23:13"
"21120","RegisterController","ios","SignInWithAppleAuthorizationException(AuthorizationErrorCode.canceled, The operation couldn’t be completed. (com.apple.AuthenticationServices.AuthorizationError error 1001.))","2024-09-09 18:23:03","2024-09-09 18:23:03"
"21119","RegisterController","ios","SignInWithAppleAuthorizationException(AuthorizationErrorCode.canceled, The operation couldn’t be completed. (com.apple.AuthenticationServices.AuthorizationError error 1001.))","2024-09-09 18:22:59","2024-09-09 18:22:59"
"21101","RegisterController","android","PlatformException(channel-error, Unable to establish connection on channel., null, null)","2024-09-09 18:09:57","2024-09-09 18:09:57"
"21097","RegisterController","android","PlatformException(channel-error, Unable to establish connection on channel., null, null)","2024-09-09 18:05:41","2024-09-09 18:05:41"
"21096","RegisterController","android","PlatformException(channel-error, Unable to establish connection on channel., null, null)","2024-09-09 18:05:41","2024-09-09 18:05:41"
"21095","RegisterController","android","PlatformException(channel-error, Unable to establish connection on channel., null, null)","2024-09-09 18:05:41","2024-09-09 18:05:41"
"21094","RegisterController","android","PlatformException(channel-error, Unable to establish connection on channel., null, null)","2024-09-09 18:05:41","2024-09-09 18:05:41"
"21093","RegisterController","android","PlatformException(channel-error, Unable to establish connection on channel., null, null)","2024-09-09 18:05:41","2024-09-09 18:05:41"
"21092","RegisterController","android","PlatformException(channel-error, Unable to establish connection on channel., null, null)","2024-09-09 18:05:41","2024-09-09 18:05:41"
"21091","RegisterController","android","PlatformException(channel-error, Unable to establish connection on channel., null, null)","2024-09-09 18:05:41","2024-09-09 18:05:41"
"21090","RegisterController","android","PlatformException(channel-error, Unable to establish connection on channel., null, null)","2024-09-09 18:05:41","2024-09-09 18:05:41"
"21089","RegisterController","android","PlatformException(channel-error, Unable to establish connection on channel., null, null)","2024-09-09 18:05:41","2024-09-09 18:05:41"
"21088","RegisterController","android","PlatformException(channel-error, Unable to establish connection on channel., null, null)","2024-09-09 18:05:41","2024-09-09 18:05:41"
"21073","RegisterController","ios","SignInWithAppleAuthorizationException(AuthorizationErrorCode.canceled, The operation couldn’t be completed. (com.apple.AuthenticationServices.AuthorizationError error 1001.))","2024-09-09 17:50:35","2024-09-09 17:50:35"
"20936","RegisterController","android","[firebase_auth/channel-error] ""dev.flutter.pigeon.firebase_auth_platform_interface.FirebaseAuthHostApi.signInWithCredential"".","2024-09-09 15:51:10","2024-09-09 15:51:10"
"20921","RegisterController","android","PlatformException(channel-error, Unable to establish connection on channel., null, null)","2024-09-09 15:39:51","2024-09-09 15:39:51"
"20910","RegisterController","ios","SignInWithAppleAuthorizationException(AuthorizationErrorCode.canceled, The operation couldn’t be completed. (com.apple.AuthenticationServices.AuthorizationError error 1001.))","2024-09-09 15:32:21","2024-09-09 15:32:21"
"20765","RegisterController","ios","SignInWithAppleAuthorizationException(AuthorizationErrorCode.canceled, The operation couldn’t be completed. (com.apple.AuthenticationServices.AuthorizationError error 1001.))","2024-09-09 13:28:23","2024-09-09 13:28:23"
"20748","RegisterController","android","[firebase_auth/channel-error] ""dev.flutter.pigeon.firebase_auth_platform_interface.FirebaseAuthHostApi.signInWithCredential"".","2024-09-09 13:08:01","2024-09-09 13:08:01"
"20736","RegisterController","android","[firebase_auth/channel-error] ""dev.flutter.pigeon.firebase_auth_platform_interface.FirebaseAuthHostApi.signInWithCredential"".","2024-09-09 12:56:25","2024-09-09 12:56:25"
"20735","RegisterController","android","[firebase_auth/channel-error] ""dev.flutter.pigeon.firebase_auth_platform_interface.FirebaseAuthHostApi.signInWithCredential"".","2024-09-09 12:56:04","2024-09-09 12:56:04"
"20715","RegisterController","android","[firebase_auth/unknown] An internal error has occurred. [ DUPLICATE_RAW_ID","2024-09-09 12:26:51","2024-09-09 12:26:51"
"20687","RegisterController","ios","SignInWithAppleAuthorizationException(AuthorizationErrorCode.canceled, The operation couldn’t be completed. (com.apple.AuthenticationServices.AuthorizationError error 1001.))","2024-09-09 12:08:24","2024-09-09 12:08:24"
"20639","RegisterController","ios","SignInWithAppleAuthorizationException(AuthorizationErrorCode.canceled, The operation couldn’t be completed. (com.apple.AuthenticationServices.AuthorizationError error 1001.))","2024-09-09 11:09:53","2024-09-09 11:09:53"
"20623","RegisterController","ios","SignInWithAppleAuthorizationException(AuthorizationErrorCode.canceled, The operation couldn’t be completed. (com.apple.AuthenticationServices.AuthorizationError error 1001.))","2024-09-09 10:44:20","2024-09-09 10:44:20"
"20617","RegisterController","ios","SignInWithAppleAuthorizationException(AuthorizationErrorCode.canceled, The operation couldn’t be completed. (com.apple.AuthenticationServices.AuthorizationError error 1001.))","2024-09-09 10:39:41","2024-09-09 10:39:41"
"20610","RegisterController","android","[firebase_auth/channel-error] ""dev.flutter.pigeon.firebase_auth_platform_interface.FirebaseAuthHostApi.signInWithCredential"".","2024-09-09 10:25:02","2024-09-09 10:25:02"
"20601","RegisterController","ios","SignInWithAppleAuthorizationException(AuthorizationErrorCode.canceled, The operation couldn’t be completed. (com.apple.AuthenticationServices.AuthorizationError error 1001.))","2024-09-09 10:13:22","2024-09-09 10:13:22"
"20528","RegisterController","ios","SignInWithAppleAuthorizationException(AuthorizationErrorCode.canceled, The operation couldn’t be completed. (com.apple.AuthenticationServices.AuthorizationError error 1001.))","2024-09-09 08:48:25","2024-09-09 08:48:25"
"20527","RegisterController","ios","SignInWithAppleAuthorizationException(AuthorizationErrorCode.canceled, The operation couldn’t be completed. (com.apple.AuthenticationServices.AuthorizationError error 1001.))","2024-09-09 08:47:34","2024-09-09 08:47:34"
"20526","RegisterController","ios","SignInWithAppleAuthorizationException(AuthorizationErrorCode.canceled, The operation couldn’t be completed. (com.apple.AuthenticationServices.AuthorizationError error 1001.))","2024-09-09 08:47:31","2024-09-09 08:47:31"
"20362","RegisterController","android","PlatformException(channel-error, Unable to establish connection on channel., null, null)","2024-09-09 06:07:29","2024-09-09 06:07:29"
"20356","RegisterController","android","[firebase_auth/channel-error] ""dev.flutter.pigeon.firebase_auth_platform_interface.FirebaseAuthHostApi.signInWithCredential"".","2024-09-09 06:00:21","2024-09-09 06:00:21"
"20351","RegisterController","android","[firebase_auth/channel-error] ""dev.flutter.pigeon.firebase_auth_platform_interface.FirebaseAuthHostApi.signInWithCredential"".","2024-09-09 05:59:44","2024-09-09 05:59:44"
"20239","RegisterController","android","[firebase_auth/channel-error] ""dev.flutter.pigeon.firebase_auth_platform_interface.FirebaseAuthHostApi.signInWithCredential"".","2024-09-09 03:19:35","2024-09-09 03:19:35"
"20161","RegisterController","android","[firebase_auth/channel-error] ""dev.flutter.pigeon.firebase_auth_platform_interface.FirebaseAuthHostApi.signInWithCredential"".","2024-09-09 01:55:26","2024-09-09 01:55:26"
"20160","RegisterController","android","[firebase_auth/channel-error] ""dev.flutter.pigeon.firebase_auth_platform_interface.FirebaseAuthHostApi.signInWithCredential"".","2024-09-09 01:55:20","2024-09-09 01:55:20"
"19683","RegisterController","android","PlatformException(channel-error, Unable to establish connection on channel., null, null)","2024-09-08 17:58:05","2024-09-08 17:58:05"
"19659","RegisterController","android","PlatformException(sign_in_failed, com.google.android.gms.common.api.b: 8: , null, null)","2024-09-08 17:40:53","2024-09-08 17:40:53"
"19638","RegisterController","ios","SignInWithAppleAuthorizationException(AuthorizationErrorCode.canceled, The operation couldn’t be completed. (com.apple.AuthenticationServices.AuthorizationError error 1001.))","2024-09-08 17:26:43","2024-09-08 17:26:43"
"19634","RegisterController","ios","SignInWithAppleAuthorizationException(AuthorizationErrorCode.canceled, The operation couldn’t be completed. (com.apple.AuthenticationServices.AuthorizationError error 1001.))","2024-09-08 17:20:49","2024-09-08 17:20:49"
"19609","RegisterController","android","[firebase_auth/channel-error] ""dev.flutter.pigeon.firebase_auth_platform_interface.FirebaseAuthHostApi.signInWithCredential"".","2024-09-08 16:57:05","2024-09-08 16:57:05"
"19593","RegisterController","android","[firebase_auth/unknown] An internal error has occurred. [ DUPLICATE_RAW_ID","2024-09-08 16:44:39","2024-09-08 16:44:39"
"19590","RegisterController","android","[firebase_auth/channel-error] ""dev.flutter.pigeon.firebase_auth_platform_interface.FirebaseAuthHostApi.signInWithCredential"".","2024-09-08 16:44:14","2024-09-08 16:44:14"
"19566","RegisterController","android","[firebase_auth/channel-error] ""dev.flutter.pigeon.firebase_auth_platform_interface.FirebaseAuthHostApi.signInWithCredential"".","2024-09-08 16:21:16","2024-09-08 16:21:16"
"19507","RegisterController","android","[firebase_auth/invalid-credential] ""UNAUTHENTICATED""
  }
}","2024-09-08 15:30:21","2024-09-08 15:30:21"
"19453","RegisterController","android","[firebase_auth/channel-error] ""dev.flutter.pigeon.firebase_auth_platform_interface.FirebaseAuthHostApi.signInWithCredential"".","2024-09-08 14:48:14","2024-09-08 14:48:14"
"19368","RegisterController","ios","SignInWithAppleAuthorizationException(AuthorizationErrorCode.canceled, The operation couldn’t be completed. (com.apple.AuthenticationServices.AuthorizationError error 1001.))","2024-09-08 13:49:42","2024-09-08 13:49:42"
"19343","RegisterController","ios","SignInWithAppleAuthorizationException(AuthorizationErrorCode.canceled, The operation couldn’t be completed. (com.apple.AuthenticationServices.AuthorizationError error 1001.))","2024-09-08 13:26:18","2024-09-08 13:26:18"
"19342","RegisterController","ios","SignInWithAppleAuthorizationException(AuthorizationErrorCode.canceled, The operation couldn’t be completed. (com.apple.AuthenticationServices.AuthorizationError error 1001.))","2024-09-08 13:24:17","2024-09-08 13:24:17"
"19275","RegisterController","ios","SignInWithAppleAuthorizationException(AuthorizationErrorCode.canceled, The operation couldn’t be completed. (com.apple.AuthenticationServices.AuthorizationError error 1001.))","2024-09-08 12:32:58","2024-09-08 12:32:58"
"19261","RegisterController","android","[firebase_auth/channel-error] ""dev.flutter.pigeon.firebase_auth_platform_interface.FirebaseAuthHostApi.signInWithCredential"".","2024-09-08 12:13:34","2024-09-08 12:13:34"
"19139","RegisterController","android","[firebase_auth/channel-error] ""dev.flutter.pigeon.firebase_auth_platform_interface.FirebaseAuthHostApi.signInWithCredential"".","2024-09-08 10:27:20","2024-09-08 10:27:20"
"19089","RegisterController","android","[firebase_auth/channel-error] ""dev.flutter.pigeon.firebase_auth_platform_interface.FirebaseAuthHostApi.signInWithCredential"".","2024-09-08 10:04:06","2024-09-08 10:04:06"
"19034","RegisterController","ios","SignInWithAppleAuthorizationException(AuthorizationErrorCode.canceled, The operation couldn’t be completed. (com.apple.AuthenticationServices.AuthorizationError error 1001.))","2024-09-08 09:14:25","2024-09-08 09:14:25"
"18990","RegisterController","android","PlatformException(channel-error, Unable to establish connection on channel., null, null)","2024-09-08 08:23:49","2024-09-08 08:23:49"
"18989","RegisterController","android","PlatformException(channel-error, Unable to establish connection on channel., null, null)","2024-09-08 08:23:46","2024-09-08 08:23:46"
"18988","RegisterController","android","PlatformException(channel-error, Unable to establish connection on channel., null, null)","2024-09-08 08:23:36","2024-09-08 08:23:36"
"18987","RegisterController","android","PlatformException(channel-error, Unable to establish connection on channel., null, null)","2024-09-08 08:23:35","2024-09-08 08:23:35"
"18986","RegisterController","android","PlatformException(channel-error, Unable to establish connection on channel., null, null)","2024-09-08 08:23:34","2024-09-08 08:23:34"
"18904","RegisterController","android","PlatformException(channel-error, Unable to establish connection on channel., null, null)","2024-09-08 06:43:26","2024-09-08 06:43:26"
"18888","RegisterController","android","[firebase_auth/channel-error] ""dev.flutter.pigeon.firebase_auth_platform_interface.FirebaseAuthHostApi.signInWithCredential"".","2024-09-08 06:20:52","2024-09-08 06:20:52"
"18847","RegisterController","android","PlatformException(channel-error, Unable to establish connection on channel., null, null)","2024-09-08 05:35:22","2024-09-08 05:35:22"
"18777","RegisterController","android","PlatformException(channel-error, Unable to establish connection on channel., null, null)","2024-09-08 04:07:00","2024-09-08 04:07:00"
"18764","RegisterController","android","[firebase_auth/channel-error] ""dev.flutter.pigeon.firebase_auth_platform_interface.FirebaseAuthHostApi.signInWithCredential"".","2024-09-08 03:49:24","2024-09-08 03:49:24"
"18760","RegisterController","android","[firebase_auth/channel-error] ""dev.flutter.pigeon.firebase_auth_platform_interface.FirebaseAuthHostApi.signInWithCredential"".","2024-09-08 03:42:44","2024-09-08 03:42:44"
"18747","RegisterController","android","[firebase_auth/channel-error] ""dev.flutter.pigeon.firebase_auth_platform_interface.FirebaseAuthHostApi.signInWithCredential"".","2024-09-08 03:15:10","2024-09-08 03:15:10"
"18743","RegisterController","android","[firebase_auth/channel-error] ""dev.flutter.pigeon.firebase_auth_platform_interface.FirebaseAuthHostApi.signInWithCredential"".","2024-09-08 03:08:28","2024-09-08 03:08:28"
"18507","RegisterController","android","[firebase_auth/channel-error] ""dev.flutter.pigeon.firebase_auth_platform_interface.FirebaseAuthHostApi.signInWithCredential"".","2024-09-07 19:16:59","2024-09-07 19:16:59"
"18497","RegisterController","android","[firebase_auth/channel-error] ""dev.flutter.pigeon.firebase_auth_platform_interface.FirebaseAuthHostApi.signInWithCredential"".","2024-09-07 18:59:38","2024-09-07 18:59:38"
"18438","RegisterController","android","PlatformException(channel-error, Unable to establish connection on channel., null, null)","2024-09-07 17:36:45","2024-09-07 17:36:45"
"18437","RegisterController","android","[firebase_auth/channel-error] ""dev.flutter.pigeon.firebase_auth_platform_interface.FirebaseAuthHostApi.signInWithCredential"".","2024-09-07 17:36:21","2024-09-07 17:36:21"
"18436","RegisterController","android","[firebase_auth/channel-error] ""dev.flutter.pigeon.firebase_auth_platform_interface.FirebaseAuthHostApi.signInWithCredential"".","2024-09-07 17:36:12","2024-09-07 17:36:12"
"18435","RegisterController","android","[firebase_auth/channel-error] ""dev.flutter.pigeon.firebase_auth_platform_interface.FirebaseAuthHostApi.signInWithCredential"".","2024-09-07 17:36:02","2024-09-07 17:36:02"
"18434","RegisterController","android","[firebase_auth/channel-error] ""dev.flutter.pigeon.firebase_auth_platform_interface.FirebaseAuthHostApi.signInWithCredential"".","2024-09-07 17:35:41","2024-09-07 17:35:41"
"18433","RegisterController","android","[firebase_auth/channel-error] ""dev.flutter.pigeon.firebase_auth_platform_interface.FirebaseAuthHostApi.signInWithCredential"".","2024-09-07 17:35:28","2024-09-07 17:35:28"
"18432","RegisterController","android","[firebase_auth/channel-error] ""dev.flutter.pigeon.firebase_auth_platform_interface.FirebaseAuthHostApi.signInWithCredential"".","2024-09-07 17:35:04","2024-09-07 17:35:04"
"18377","RegisterController","android","PlatformException(channel-error, Unable to establish connection on channel., null, null)","2024-09-07 16:24:54","2024-09-07 16:24:54"
"18375","RegisterController","android","PlatformException(channel-error, Unable to establish connection on channel., null, null)","2024-09-07 16:24:40","2024-09-07 16:24:40"
